Id,survived
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,1
126,0
127,0
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,1
137,0
138,1
139,0
140,0
141,1
142,1
143,0
144,0
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,1
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,1
207,1
208,0
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,1
241,0
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,0
274,0
275,1
276,1
277,0
278,0
279,1
280,0
281,1
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,1
299,0
